Input List,Area AVG,RG AVG,RDF Peak
"[(1, 'E1'), (2, 'E1'), (3, 'E7'), (4, 'S6'), (5, 'E2'), (6, 'E8'), (7, 'E7'), (8, 'S5'), (9, 'S5'), (10, 'S0'), (11, 'S0'), (12, 'S5')]",8685.703342,15.82316472,1.900315699
"[(1, 'E1'), (2, 'E2'), (3, 'E5'), (4, 'S9'), (5, 'E8'), (6, 'E5'), (7, 'E3'), (8, 'E6'), (9, 'E8'), (10, 'S9'), (11, 'E3'), (12, 'E2')]",9155.626635,16.72798943,1.722420778
"[(1, 'E1'), (2, 'E2'), (3, 'E9'), (4, 'E6'), (5, 'S0'), (6, 'E8'), (7, 'S2'), (8, 'E7'), (9, 'E1'), (10, 'S9'), (11, 'S1'), (12, 'S7'), (13, 'E8'), (14, 'S0'), (15, 'S5'), (16, 'S3'), (17, 'E8'), (18, 'E3'), (19, 'E8')]",13563.05194,18.88731051,1.851461808
"[(1, 'E1'), (2, 'E3'), (3, 'E5'), (4, 'E7'), (5, 'E5'), (6, 'E3'), (7, 'E1'), (8, 'S1'), (9, 'S3'), (10, 'S5'), (11, 'S7'), (12, 'S5'), (13, 'S3'), (14, 'S1')]",9008.49516,16.07379854,1.84624469
"[(1, 'E1'), (2, 'E4'), (3, 'E9'), (4, 'S4'), (5, 'S8'), (6, 'S9'), (7, 'S4'), (8, 'E2'), (9, 'E1'), (10, 'S8'), (11, 'E8'), (12, 'S9'), (13, 'E6'), (14, 'E3'), (15, 'S2'), (16, 'E1'), (17, 'E3'), (18, 'E6'), (19, 'E3'), (20, 'S5')]",16818.02,18.41,1.8
"[(1, 'E1'), (2, 'E7'), (3, 'S0'), (4, 'S3'), (5, 'S8'), (6, 'E4'), (7, 'S2'), (8, 'S9'), (9, 'E5'), (10, 'S0'), (11, 'E1'), (12, 'E5'), (13, 'E6'), (14, 'E1'), (15, 'E4'), (16, 'S0'), (17, 'S2')]",10817.64062,16.72160656,1.747106205
"[(1, 'E1'), (2, 'S0'), (3, 'S0'), (4, 'S0'), (5, 'S0'), (6, 'S0'), (7, 'S0'), (8, 'S0'), (9, 'S0'), (10, 'S0'), (11, 'S0'), (12, 'S0'), (13, 'S0'), (14, 'S0'), (15, 'S0'), (16, 'S0'), (17, 'S0'), (18, 'S0'), (19, 'S0'), (20, 'S1')]",2190.116157,15.11270469,1.665224817
"[(1, 'E1'), (2, 'S2'), (3, 'S4'), (4, 'E1'), (5, 'E2'), (6, 'E6'), (7, 'E6'), (8, 'S9'), (9, 'S4'), (10, 'S3'), (11, 'S9'), (12, 'E0'), (13, 'S9'), (14, 'S0'), (15, 'E1'), (16, 'E7'), (17, 'S7'), (18, 'S6')]",15186.7267,19.17517959,1.770255416
"[(1, 'E1'), (2, 'S4'), (3, 'S4'), (4, 'E7'), (5, 'E2'), (6, 'E5'), (7, 'E1'), (8, 'S1'), (9, 'E8'), (10, 'E4'), (11, 'E8'), (12, 'S5'), (13, 'E0'), (14, 'E4'), (15, 'S3'), (16, 'E3'), (17, 'E4'), (18, 'S7'), (19, 'S2')]",13607.01504,17.38080085,1.760613554
"[(1, 'E1'), (2, 'S6'), (3, 'S0'), (4, 'E1'), (5, 'E2'), (6, 'E7'), (7, 'E1'), (8, 'S0'), (9, 'E2'), (10, 'E8'), (11, 'S8'), (12, 'E6'), (13, 'S0'), (14, 'S1'), (15, 'S7'), (16, 'S5'), (17, 'S9'), (18, 'S3')]",12016.63847,18.78927997,1.857763629
"[(1, 'E1'), (2, 'S6'), (3, 'S4'), (4, 'S3'), (5, 'E7'), (6, 'S9'), (7, 'S8'), (8, 'S1'), (9, 'E1'), (10, 'E0'), (11, 'S7'), (12, 'S1'), (13, 'S7'), (14, 'E5'), (15, 'E3'), (16, 'E6'), (17, 'E8')]",13255.32216,19.61206665,1.730692372
